"MaterialID","MaterialName","UnitID","CategoryID"
"00076758",Grass Planting. Mixed Grass Seeds,5,5
"00289289",Drilling piles. Stabilizing fluid additives,9,5
"00435578",Temporary Facilities. Lighting Equipment,7,5
"00475894",Adhesive,8,5
"00872248",Occupational Safety and Health. Protective Equipment. Body. Reflective Vests,7,5
"00965138",Selective backfill material. Graded aggregate. Graded crushed stone. Used for backfilling structures.,19,3
"01049999",Occupational Safety and Health. General Equipment. Helmet Safety Light (for Mining),7,5
"01250299",Product. Controlled low-strength backfill material. Aggregate for concrete. 90 kg/cm2,9,3
"01297845",rebar.,5,2
"01540956",Underground distribution pipelines. Backfill. Graded materials,9,3
"01980765",Product: Reinforced concrete pipe (Type B). D = 300mm. Grade 3 pipe. Excavation and backfill not included.,12,3
"02614124",Product. Temporary Conducting Equipment. Red Electric Conductor Baton,7,5
"02823170",Product: Precast concrete. L2 precast trench cover. 80cm wide x 90cm long. 25cm high,7,2
"03356886",Equipment operator. Road roller,3,1
"03561597",Asphalt adhesive layer. Emulsified asphalt,5,5
"03999315","Product: High-pressure concrete floor tiles (for Class C sidewalks, flat tiles). 30mm thick. Square.",4,2
"04216175",Crawler type. 0.70~0.79m3. (used as a crusher),3,5
"04265799",Product. Ready-mix concrete material cost. 210kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"04308421",Product. Standard formwork,4,5
"05334035","Paint. One base, two coats",4,3
"05831819",Product. Slope stabilization horizontal drainage pipe. Drain pipe. PVC pipe (no holes). Pipe diameter = 50mm,12,5
"05917225",Product: High-density polyethylene pipe. Straight pipe. Material: PE3408. Maximum operating pressure: 0.98 MPa (10 kgf/cm²). Nominal diameter: 400 mm.,12,5
"06150444",Occupational Safety and Health. Protective Equipment. Working at Heights. Safety Belts,7,5
"06323852",Technician. Daytime. Measure,1,1
"06729990","2~2.9t. Wheeled",1,5
"06789850",Product: Reinforced concrete pipe (Type B). D=1000mm. Tertiary pipe,7,2
"06818112",Product. Ready-mix concrete material cost. 80kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"07270733",Water flow buzzer alarm,7,5
"07507864",Backfill of structures. Backfill of raw materials,9,3
"07634247",Quality Management. Test Specifications and Standards. Civil Engineering and Construction Inspection. A3343 Test Method for Water-Soluble Chloride Ion Content in Fresh Concrete,18,4
"07672593",Residual waste transport and treatment (including soil and water conservation),9,3
"07774584",Quality management. Test specifications and standards. Civil engineering and construction inspections. A3252 Test method for the relationship between soil moisture content and density.,18,4
"07849494",Structural concrete. Ready-mixed. 210 kgf/cm². Type 2 cement,9,2
"07869910",Product: Reinforced concrete pipe (Type B). D=800mm. Secondary pipe,7,2
"07901903",Quality management. Test specifications and standards. Ferrous metal smelting inspection. G2013 Metal Materials Tensile Test Method,18,4
"08135295",New Jersey Guardrail. Flooded Movable Guardrail,7,5
"08181586",Temporary retaining pile facilities. Steel sheet pile. L=9m. Driving and pulling out,7,3
"08526544",Selective backfill materials. Permeable materials. Pebbles,9,3
"08593410",Product. Ready-mix concrete material cost. 210kgf/cm². Type 2 cement. Delivery to construction site.,9,2
"08883684",Metal Materials. Iron Wire. Galvanized,5,5
"09046318",Indoor wiring and distribution line installation technician,1,1
"09121552",Underground distribution pipelines. Ready-mixed concrete. 210 kgf/cm2,9,2
"09196777",Quality management. Test specifications and standards. Civil engineering and construction inspections. Bamboo steel bar tensile testing,14,4
"09233013",Product: Asphalt concrete paving. Coarse aggregate 9.5mm. Viscosity AC(1)-20,9,3
"09289546",Technician. Daytime. Rebar,1,1
"09335534",Product: Reinforced concrete pipe (Type B). D=500mm. Grade III pipe. Installation fee,12,2
"09510312",Structural excavation. Soft rock. Mechanical excavation,9,3
"09528530","rebar. (Excluding steel bar supply, including wages, miscellaneous materials and machinery)",11,2
"09583482",Horticultural technician,1,1
"09736572",Product. Ground Rod. Copper-clad steel rod. D19mm x L3.0m,7,5
"09832887",Grass Planting. Carpet Grass (Tropical Carpet Grass),4,5
"10099059",Precast concrete. Special-shaped blocks. 5 tons. Transport,7,3
"10117988",Steel Rebar. SD420,11,2
"10570592",Underground distribution pipes. Backfill. Asphalt (40kg package),2,3
"10576383",Machine tool operator. Motor grader,3,1
"10709497",Washed Stone. Yilan Stone,5,5
"10752378",Quality management. Test specifications and standards. Civil engineering and construction inspections. Asphalt concrete mix design.,18,4
"11003626",Concrete Technician,3,1
"11496211",Underground distribution pipelines. Ready-mixed concrete. 140 kgf/cm2,9,2
"11668732",Asphalt transparent layer. Medium-gel oil-soluble asphalt. MC-70,8,5
"12201654","1.2M3. Wheeled",3,5
"12388090",Air Duct. Spiral,12,5
"12448136","35-ton gross weight trailer. 40-foot lowboard",13,5
"12517517",Product: Reinforced concrete pipe (Type B). D=400mm. Secondary pipe,7,2
"12575562",Machine tool operator. Mobile crane,3,1
"12660194",Product. Construction safety net. Mesh size 2x2cm. Polypropylene.,4,5
"12981052",Product: Reinforced concrete pipe (Type B). D=400mm. Tertiary pipe,7,2
"13009833",Product. Construction Signs. Diamond Shape. Standard Side Length 70cm. Rental,7,5
"13141087",Rebar. Rebar Connector. D36mm,7,5
"13209423",Monitoring equipment. Subsidence observation nails. Installation including monitoring,7,5
"13419256",Planting. Foreign soil,9,5
"13556182",Marking Lines. Glass Beads. Category 1,5,5
"13718431",Product: High-pressure concrete floor tiles. Thickness: 60mm,4,2
"13756669",Machine operator. Compactor,3,1
"13903144",Occupational safety and health. Protective equipment. Water rescue equipment. Ropes,12,5
"14282218",Quality Management. Test Specifications and Standards. Civil Engineering and Construction Inspection. A3031 Test Method for Solidity of Aggregates Using Sodium Sulfate or Magnesium Sulfate,18,4
"14366125",Product. Slope stabilization horizontal drainage pipe. Drain pipe. PVC pipe (no holes). Pipe diameter = 100mm,12,5
"14665841",Permeable paving. Block and hollow. Grass bricks. 5 ≤ Surface thickness < 10 cm,4,3
"14716857",Construction measurement. Wire measurement,16,3
"14942603",Product. Portland Cement. Type 1 Cement. Bags. Delivered to site.,2,2
"14972279",product. plywood. Thick 18mm,4,5
"15014631",Selective backfill materials. Graded aggregate. Graded crushed stone,10,3
"15015458",Prestressing technician. Prestressing steel tendons,3,1
"15374874","Construction auxiliary facilities, scaffolding, steel pipes, installation and disassembly (including rental)",4,5
"15492573",Product. Dimming control system. Network cable. Cat.6,12,5
"16090908",Construction measurement. Measurement and layout,4,3
"16240908",Steel Rebar. SD280,11,2
"16753883",Occupational Safety and Health. General Equipment. Hygiene Signs,7,5
"16879290",Construction auxiliary facilities. External construction frame dust screen. Nylon,4,5
"17232410",Excavation of structures. Manual excavation,9,3
"17558317",Structural concrete. 210kgf/cm2,9,2
"17566185",Product. Flat plastic warning tape. Polyvinyl chloride (PVC). Width = 200mm,12,5
"17758595",Product: Stainless steel pipe. Diameter = 5cm. Thickness 2.5mm,12,5
"17778019",Water-based cement paint,8,2
"18024248",Occupational Safety and Health. Protective Equipment. Working at Heights. Safety Belts. Backpack Safety Belts,7,5
"18566572",Product: Reinforced concrete pipe (Type B). D=300mm. Secondary pipe,12,2
"18728463",Other technical workers,1,1
"18740864",Construction Fence. Overflow Block,12,5
"18814949",Product. Slope stabilization horizontal drainage pipe. High-density polyethylene (HDPE) pipe (non-porous). Pipe diameter = 70mm,12,5
"19175900",Product. Portland Cement. Bulk,5,2
"20513739",Formwork technician. Daytime,1,1
"20514014","Geotextiles, Engineering Nonwovens",4,5
"20776478",Structural concrete. 140kgf/cm2,9,2
"20863865","Product. Metal. Iron wire. Galvanized. (#8, D=4.191mm)",5,5
"20868105",Product. Marking. Pavement. Reflective. Metal,7,5
"21130263",Quality Management. Test Specifications and Standards. Civil Engineering and Construction Inspection. A3147 Test Method for Thickness or Height of Compacted Specimens of Asphalt Paving Mixtures,18,4
"21172421",Product. Glass. Tempered glass. Flat. t=6mm,20,5
"21227574",Product. Non-shrinkage cement mortar. Compressive strength 350 kgf/cm2,9,2
"21429110",Permeable Paving. Porous Asphalt Concrete,11,3
"21472420",Non-shrinkage concrete. Non-shrinkage chemical admixtures,5,2
"21682744",Plywood,4,5
"21687165","Decorative carpentry, furniture carpentry, door and window carpentry technicians",1,1
"21831063",Quality management. Test specifications and standards. Civil engineering and construction inspections. Steel bar chemical composition analysis.,14,4
"21931511",Formwork technician,1,1
"22097220",Product. Reinforced concrete pipe culvert. D=600mm. Three-stage pipe,12,2
"22162965",Geotextiles. Engineering nonwovens (nonwoven fabrics). CNS Class 2,4,5
"22321899",Product: Reinforced concrete pipe (Type B). D=500mm. Secondary pipe,7,2
"22969840","Product. (Non-removable formwork, wood)",4,5
"23978249",Product. Ready-mix concrete material cost. 245kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"24627347",Metal Materials. Steel. Steel Sections,5,5
"24941004",Quality management. Test specifications and standards. Civil engineering and construction inspections. Bamboo steel bar bending test,14,4
"25487660",Structural concrete. Manual mixing. 210kgf/cm2,9,2
"25529407",Product: Slope-stabilized horizontal drainage pipe. High-density polyethylene (HDPE) pipe (non-porous). Pipe diameter = 30mm,12,5
"25556386",Product. Controlled low-strength backfill material. Aggregate for concrete. 80 kg/cm2,9,3
"25714784",Selective backfill materials. Permeable materials. Gravel,9,3
"25808537",Product. Marking. Reflective. Tempered glass. Height <1.9cm,7,5
"26687537",Technician. Measurement,1,1
"26697396","Excavation of structures. Complex ground. Depth <5m. (Mechanical excavation, including pumping). Freight not included.",9,3
"26998038",Occupational Safety and Health. General Equipment. Flashlights,7,5
"27326368",Product: Reinforced concrete pipe culvert. D=600mm,12,2
"27415205",Product. Portland Cement. Type 2 Cement. Bags. Delivered to site.,2,2
"28119557",Machine tool operator,1,1
"28270233",Product: Reinforced concrete pipe (Type B). D = 400mm. Grade 3 pipe. Excavation and backfill not included.,12,3
"28317637",Steel Rebar Technician,1,1
"28427073",Grass Planting. Taipei Grass (Manila Chi),4,5
"28538251",Galvanized grating cover,5,5
"28609087",Road marking. Road paint,8,5
"28688676",Product: Reinforced concrete pipe (Type B). D=800mm. Tertiary pipe,7,2
"28754377",Asphalt concrete surface layer removal. Shipping cost of the removed material,9,2
"28898923",Marking. Glass Beads,5,5
"29219319",Structural concrete. Ready-mixed. 210 kgf/cm². Type 1 cement.,9,2
"29345092",Product. Plywood. Thickness 15mm,4,5
"29436733",Product: Reinforced concrete pipe (Type B). D=1500mm. Secondary pipe,12,2
"29476249",Occupational safety and health. Protective equipment. Water rescue equipment. Lifebuoys,7,5
"29557077",Selective backfill material. Soil. Fertile soil,9,3
"29587039",Rebar technician. Rebar cutting,3,1
"29958838",Occupational Safety and Health. Protective Equipment. Foot. Safety Shoes,6,5
"30158366",Excavation of temporary cover plate and its support. Installation of anti-skid steel plate. Daytime construction.,4,3
"30587988",Steel Formwork,4,5
"30728046",Earthwork. Earthwork transportation. 0≦Transport distance<5km,9,3
"30742311","Product. (No need to dismantle the formwork, steel)",4,5
"30885476",Installation technician. Drainage pipes,1,1
"31227216",Granules. Fine Granules,10,5
"31244663",Product. Rock bolt. Self-drilling rock bolt. Anchor diameter = 25mm. L = 6m,12,5
"31568532",Flat top white clay.,4,5
"31726318",Product: Reinforced concrete pipe (Type B). D=450mm. Tertiary pipe,7,2
"31944441",Plasterer-Bricklayer,1,1
"32035886",Ceiling. Suspension Rods,4,5
"32138745",Quality Management. Test Specifications and Standards. Civil Engineering and Construction Inspection. A3005 Coarse and Fine Particle Screening Method,18,4
"32329237",Quality Management. Test Specifications and Standards. Civil Engineering and Construction Inspection. A3293 Test Method for Plastic Flow Resistance of Asphalt Mixtures Using a Marshall Apparatus,18,4
"32614537",Product. Construction sign. Aluminum. 300cm long x 170cm wide,7,5
"32787299",Asphalt adhesive. Fast-setting oil-soluble asphalt,5,5
"32857966",Selective backfill materials. Permeable materials. Gravel,10,3
"32868828",Technician. formwork,1,1
"33046464",Machine tool operator. Grab machine,3,1
"33101783",Flexible Paving. Coarse Aggregate,9,3
"33273328",Steel Rebar. SD420W,5,2
"33374088",Selective backfill material. Soil. Fertile soil,9,3
"33528453",rebar. SD280W,11,5
"33704923",Product. Ready-mixed concrete material cost. 80kgf/cm2. Type 1 cement,9,2
"33744231",Quality management. Test specifications and standards. Civil engineering and construction inspections. Steel reinforcement appearance testing.,14,4
"34999379",Product. Traffic Cone. Height 70cm,7,5
"35159040",Structural concrete. Machine mixed. 175kgf/cm2,9,2
"35264581",Occupational Safety and Health. Protective Equipment. Body. Welding Jackets,15,5
"35351479",Product. Ready-mixed concrete material cost. 210kgf/cm2. Type 2 cement,9,2
"35431319",Product. Ready-mix concrete material cost. 175kgf/cm2. Type 1 cement,9,2
"35496015",Toilet paper holder,7,5
"35503389",Occupational Safety and Health. General Equipment. Safety Signs,7,5
"35551614",Product. Seam filler. Styrofoam. 1.0 < Thickness ≤ 3.0 cm,4,5
"35575298",Geotextiles. Engineering nonwovens (nonwoven fabrics). CNS Class 4,4,5
"35594597",Product. Waterstop. PVC. Type E. 150x9mm,12,5
"35594951",Prestressed tendons,11,5
"35650176",Ceiling. Plastic (PVC),4,5
"35812670",Traffic Cone,7,5
